Rent,Beds,Baths,Area_in_sqft,log_area,property_rank_in_location,area_deviation_from_location,location_type_premium,furnishing_type_premium,bath_bed_ratio,area_per_bedroom,type_room_premium,Location,Type,Furnishing
208000,3,4,2558,7.847371836159788,0.9171210468920392,-0.0028708820218501,1.7487047064323402,0.9962982747044148,1.0,639.5,1.73912046358283,Khalifa City,Villa,Unfurnished
144999,2,3,1333,7.195937226475569,0.4100169779286927,-0.3770424116573987,1.6359048424926326,0.9962982747044148,1.0,444.3333333333333,1.638368156401277,Yas Island,Townhouse,Unfurnished
75000,3,3,1875,7.53689712956617,0.6211180124223602,0.6747637507790175,0.6391582761423564,0.9962982747044148,0.75,468.75,0.7630233435089949,Hamdan Street,Apartment,Unfurnished
274999,5,8,5890,8.681181041521688,0.965467102871683,0.963898322427434,1.7487047064323402,0.9962982747044148,1.3333333333333333,981.6666666666666,1.73912046358283,Khalifa City,Villa,Unfurnished
110000,3,3,1940,7.57095858316901,0.5789177001127396,-0.14703606442368,0.8803427291204609,0.9962982747044148,0.75,485.0,0.7630233435089949,Al Khalidiyah,Apartment,Unfurnished
26400,0,1,500,6.2166061010848646,0.0348101265822784,-0.841322118731272,0.4215707343675354,0.9962982747044148,1.0,500.0,0.7630233435089949,Mohammed Bin Zayed City,Apartment,Unfurnished
65000,3,3,1300,7.170888478512505,0.5692307692307692,-0.3438597951543811,0.57874706485786,0.9962982747044148,0.75,325.0,0.7630233435089949,Airport Street,Apartment,Unfurnished
165000,2,4,2100,7.650168700845001,0.902439024390244,0.582347895668219,0.7910142733254536,0.9962982747044148,1.3333333333333333,700.0,0.7630233435089949,Tourist Club Area (Tca),Apartment,Unfurnished
235000,5,8,6217,8.735203590618699,0.9134615384615384,2.438765521802313,1.6506212355218244,0.9962982747044148,1.3333333333333333,1036.1666666666667,1.73912046358283,Al Raha Gardens,Villa,Unfurnished
42000,1,1,1200,7.0909098220799835,0.2027750730282375,-0.6378986560134606,0.4215707343675354,0.9962982747044148,0.5,600.0,0.7630233435089949,Mohammed Bin Zayed City,Apartment,Unfurnished
80000,3,5,4000,8.294299608857235,0.559973924380704,-0.1276330269423678,0.3399731209065741,0.9962982747044148,1.25,1000.0,0.7630233435089949,Madinat Al Riyadh,Apartment,Unfurnished
70000,2,2,1150,7.048386408721883,0.5187793427230047,-0.5348029049781456,0.6315300405515805,0.9962982747044148,0.6666666666666666,383.3333333333333,0.7630233435089949,Electra Street,Apartment,Unfurnished
115000,3,4,2000,7.601402334583733,0.7235550708833152,1.013547741616953,0.8446181966312187,0.9962982747044148,1.0,500.0,0.7630233435089949,Al Reem Island,Apartment,Unfurnished
69999,1,2,898,6.80128303447162,0.1157337367624811,-0.6293512536436965,1.2926233664882631,0.9962982747044148,1.0,449.0,0.7630233435089949,Saadiyat Island,Apartment,Unfurnished
50000,1,1,1200,7.0909098220799835,0.5238095238095238,-0.3968902636671466,0.3943848198900072,0.9962982747044148,0.5,600.0,0.7630233435089949,Khalifa City,Apartment,Unfurnished
120000,2,3,1250,7.1316985104669115,0.7585877862595419,-0.1481016396972328,0.8446181966312187,0.9962982747044148,1.0,416.6666666666667,0.7630233435089949,Al Reem Island,Apartment,Unfurnished
22000,0,1,699,6.551080335043404,0.0510204081632653,-0.868819370091997,0.4866207113209237,0.9962982747044148,1.0,699.0,0.7630233435089949,Al Shamkha,Apartment,Unfurnished
109999,2,4,1500,7.313886831633462,0.8773234200743495,0.2278992850734164,0.654492033806893,0.9962982747044148,1.3333333333333333,500.0,0.7630233435089949,Rawdhat Abu Dhabi,Apartment,Unfurnished
85000,2,3,1500,7.313886831633462,0.4817339149400218,0.2391148207408291,0.8446181966312187,0.9962982747044148,1.0,500.0,0.7630233435089949,Al Reem Island,Apartment,Unfurnished
120000,3,4,2400,7.783640596221253,0.6094946401225115,0.8421686699762385,1.013489831002807,0.9962982747044148,1.0,600.0,0.7630233435089949,Corniche Area,Apartment,Unfurnished
37000,1,1,683,6.52795791762255,0.1572541382667965,-0.7881414134779013,0.4215707343675354,0.9962982747044148,0.5,341.5,0.7630233435089949,Mohammed Bin Zayed City,Apartment,Unfurnished
90000,3,3,1850,7.523481312573497,0.4800389483933788,-0.4490054406326358,0.4215707343675354,0.9962982747044148,0.75,462.5,0.7630233435089949,Mohammed Bin Zayed City,Apartment,Unfurnished
120000,4,4,5200,8.556606193773073,0.5886075949367089,0.5245211309454615,1.3332583646764185,0.9962982747044148,0.8,1040.0,1.73912046358283,Mohammed Bin Zayed City,Villa,Unfurnished
55000,2,2,1000,6.90875477931522,0.4,-0.6613130729102585,0.3807924137722772,0.9962982747044148,0.6666666666666666,333.3333333333333,0.7630233435089949,Shakhbout City,Apartment,Unfurnished
